#{"t_start": 1715681333.7286725, "env_id": "ALE/MsPacman-ram-v5"}
r,l,t
70.0,529,485.765928
70.0,529,486.263325
70.0,529,486.995179
70.0,529,487.463444
70.0,529,487.927915
70.0,529,488.402492
70.0,529,488.876559
70.0,529,489.591849
70.0,529,490.094687
70.0,529,490.55705
70.0,529,491.040455
70.0,529,491.510098
70.0,529,492.192084
70.0,529,492.662148
70.0,529,493.143547
70.0,529,493.622589
70.0,529,494.09205
70.0,529,494.798162
70.0,529,495.253959
70.0,529,495.699292
70.0,529,496.166813
70.0,529,496.629703
70.0,529,497.30834
70.0,529,497.761961
70.0,529,498.216913
70.0,529,498.704396
70.0,529,499.173754
70.0,529,499.850855
70.0,529,500.321444
70.0,529,500.78973
70.0,529,501.282868
70.0,529,501.742983
70.0,529,502.42562
70.0,529,502.893963
70.0,529,503.375397
70.0,529,503.856121
70.0,529,504.340352
70.0,529,505.006063
70.0,529,505.449852
70.0,529,505.910246
70.0,529,506.360299
70.0,529,506.818878
70.0,529,507.491492
70.0,529,507.970014
70.0,529,508.449779
70.0,529,508.926005
70.0,529,509.405146
70.0,529,510.091634
70.0,529,510.585015
70.0,529,511.043968
70.0,529,511.515409
70.0,529,512.004412
70.0,529,512.684989
70.0,529,513.150623
70.0,529,513.636796
70.0,529,514.120891
70.0,529,514.587855
70.0,529,515.269238
70.0,529,515.727962
70.0,529,516.21206
70.0,529,516.676375
70.0,529,517.156386
70.0,529,517.849758
70.0,529,518.331614
70.0,529,518.802338
70.0,529,519.280782
70.0,529,519.761726
70.0,529,520.442532
70.0,529,520.907621
70.0,529,521.373285
70.0,529,521.855483
70.0,529,522.325539
70.0,529,523.008013
70.0,529,523.460311
70.0,529,523.929736
70.0,529,524.415728
70.0,529,524.886961
70.0,529,525.564671
70.0,529,526.023573
70.0,529,526.470755
70.0,529,526.922974
70.0,529,527.395185
70.0,529,528.086703
70.0,529,528.554198
70.0,529,529.051699
70.0,529,529.544023
70.0,529,530.034059
70.0,529,530.721769
70.0,529,531.177083
70.0,529,531.645264
70.0,529,532.115512
70.0,529,532.601832
70.0,529,533.291375
70.0,529,533.780416
70.0,529,534.260506
70.0,529,534.741648
70.0,529,535.209965
70.0,529,535.913374
70.0,529,536.381761
70.0,529,536.843321
70.0,529,537.31159
70.0,529,537.784456
70.0,529,538.483968
70.0,529,538.979102
70.0,529,539.463143
70.0,529,539.950613
70.0,529,540.430494
70.0,529,541.113391
70.0,529,541.596144
70.0,529,542.057871
70.0,529,542.5238
70.0,529,542.990262
70.0,529,543.691666
70.0,529,544.161796
70.0,529,544.634441
70.0,529,545.108071
70.0,529,545.580622
70.0,529,546.267107
70.0,529,546.729515
70.0,529,547.1948
70.0,529,547.677898
70.0,529,548.177704
70.0,529,548.871505
70.0,529,549.363396
70.0,529,549.850574
70.0,529,550.323922
70.0,529,550.842245
70.0,529,551.576964
70.0,529,552.066767
70.0,529,552.577077
70.0,529,553.077224
70.0,529,553.601588
70.0,529,554.337829
70.0,529,554.822036
70.0,529,555.310005
70.0,529,555.785567
70.0,529,556.26396
70.0,529,556.958056
70.0,529,557.444215
70.0,529,557.909863
70.0,529,558.386819
70.0,529,558.851857
70.0,529,559.549143
70.0,529,560.024873
70.0,529,560.504849
70.0,529,560.966398
70.0,529,561.424737
70.0,529,562.122012
70.0,529,562.591458
70.0,529,563.049408
70.0,529,563.51181
70.0,529,563.999076
70.0,529,564.706652
70.0,529,565.181866
70.0,529,565.660897
70.0,529,566.141093
70.0,529,566.606371
70.0,529,567.296072
70.0,529,567.774581
70.0,529,568.267216
70.0,529,568.743587
70.0,529,569.230683
70.0,529,569.954637
70.0,529,570.422916
70.0,529,570.894286
70.0,529,571.360522
70.0,529,571.843758
70.0,529,572.543395
70.0,529,573.008551
70.0,529,573.480849
70.0,529,573.945232
70.0,529,574.432302
70.0,529,575.115928
70.0,529,575.58303
70.0,529,576.075182
70.0,529,576.554167
70.0,529,577.036463
70.0,529,577.742849
70.0,529,578.207007
70.0,529,578.689473
70.0,529,579.172331
70.0,529,579.654806
70.0,529,580.35906
70.0,529,580.821517
70.0,529,581.27988
70.0,529,581.742022
70.0,529,582.218264
70.0,529,582.894111
70.0,529,583.36019
70.0,529,583.839322
70.0,529,584.321707
70.0,529,584.825803
70.0,529,585.520196
70.0,529,585.987326
70.0,529,586.458617
70.0,529,586.943562
70.0,529,587.41387
70.0,529,588.10256
70.0,529,588.571424
70.0,529,589.046053
70.0,529,589.547858
70.0,529,590.0183
70.0,529,590.744488
70.0,529,591.228831
70.0,529,591.68723
70.0,529,592.165228
70.0,529,592.649429
70.0,529,593.361714
70.0,529,593.8449
70.0,529,594.311184
70.0,529,594.777556
70.0,529,595.252053
70.0,529,595.943241
70.0,529,596.404537
70.0,529,596.863905
70.0,529,597.343143
70.0,529,597.80637
70.0,529,598.530715
70.0,529,598.997919
70.0,529,599.489125
70.0,529,599.989311
70.0,529,600.480681
70.0,529,601.187791
70.0,529,601.645894
70.0,529,602.101238
70.0,529,602.557766
70.0,529,603.024114
70.0,529,603.690707
70.0,529,604.138346
70.0,529,604.590593
70.0,529,605.052292
70.0,529,605.521264
70.0,529,606.195659
70.0,529,606.653258
70.0,529,607.107628
70.0,529,607.556831
70.0,529,608.020194
70.0,529,608.700816
70.0,529,609.146434
70.0,529,609.607591
70.0,529,610.090884
70.0,529,610.571425
70.0,529,611.259252
70.0,529,611.725938
70.0,529,612.19016
70.0,529,612.655317
70.0,529,613.128758
70.0,529,613.820245
70.0,529,614.309389
70.0,529,614.77857
70.0,529,615.26577
70.0,529,615.740823
70.0,529,616.41584
70.0,529,616.839086
70.0,529,617.330366
70.0,529,617.733102
70.0,529,618.136766
70.0,529,618.71745
70.0,529,619.114355
70.0,529,619.515756
70.0,529,619.930702
70.0,529,620.337339
70.0,529,620.927741
70.0,529,621.342152
70.0,529,621.741099
70.0,529,622.139881
70.0,529,622.536768
70.0,529,623.125267
70.0,529,623.54977
70.0,529,623.961472
70.0,529,624.384107
70.0,529,624.800974
70.0,529,625.423991
70.0,529,625.838535
70.0,529,626.259198
70.0,529,626.705708
70.0,529,627.119486
70.0,529,627.760266
